combo,size,n_old,n_new,models,dataset,split_mode,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error
combo_size4_o2n2_Ounder_Oover_Nunder_Nover,4,2,2,"old_under,old_over,new_under,new_over",stock_spx,chronological,0.5565917338089673,0.0,0.0,0.0,0.0,0.0,1.0
combo_size4_o2n2_Ounder_Oover_Nunder_Nhybrid,4,2,2,"old_under,old_over,new_under,new_hybrid",stock_spx,chronological,0.5567301187034874,0.0,0.0,0.0,0.0,0.0,1.0
combo_size4_o2n2_Ounder_Oover_Nover_Nhybrid,4,2,2,"old_under,old_over,new_over,new_hybrid",stock_spx,chronological,0.5568069992004429,0.0,0.0,0.0,0.0,0.0,1.0
combo_size4_o2n2_Ounder_Ohybrid_Nunder_Nover,4,2,2,"old_under,old_hybrid,new_under,new_over",stock_spx,chronological,0.5638108124730918,0.0,0.0,0.0,0.0,0.0,1.0
combo_size4_o2n2_Ounder_Ohybrid_Nunder_Nhybrid,4,2,2,"old_under,old_hybrid,new_under,new_hybrid",stock_spx,chronological,0.5642105910572606,0.0,0.0,0.0,0.0,0.0,1.0
combo_size4_o2n2_Ounder_Ohybrid_Nover_Nhybrid,4,2,2,"old_under,old_hybrid,new_over,new_hybrid",stock_spx,chronological,0.5641183344609139,0.0,0.0,0.0,0.0,0.0,1.0
combo_size4_o1n3_Ounder_Nunder_Nover_Nhybrid,4,1,3,"old_under,new_under,new_over,new_hybrid",stock_spx,chronological,0.5600667322713574,0.0,0.0,0.0,0.0,0.0,1.0
combo_size4_o2n2_Oover_Ohybrid_Nunder_Nover,4,2,2,"old_over,old_hybrid,new_under,new_over",stock_spx,chronological,0.5556537917461098,0.0,0.0,0.0,0.0,0.0,1.0
combo_size4_o2n2_Oover_Ohybrid_Nunder_Nhybrid,4,2,2,"old_over,old_hybrid,new_under,new_hybrid",stock_spx,chronological,0.5562842118211452,0.0,0.0,0.0,0.0,0.0,1.0
combo_size4_o2n2_Oover_Ohybrid_Nover_Nhybrid,4,2,2,"old_over,old_hybrid,new_over,new_hybrid",stock_spx,chronological,0.5560766344793653,0.0,0.0,0.0,0.0,0.0,1.0
combo_size4_o1n3_Oover_Nunder_Nover_Nhybrid,4,1,3,"old_over,new_under,new_over,new_hybrid",stock_spx,chronological,0.5361338335691002,0.0,0.0,0.0,0.0,0.0,1.0
combo_size4_o1n3_Ohybrid_Nunder_Nover_Nhybrid,4,1,3,"old_hybrid,new_under,new_over,new_hybrid",stock_spx,chronological,0.5434144166307892,0.0,0.0,0.0,0.0,0.0,1.0
combo_size5_o3n2_Ounder_Oover_Ohybrid_Nunder_Nover,5,3,2,"old_under,old_over,old_hybrid,new_under,new_over",stock_spx,chronological,0.5654714312073312,0.0,0.0,0.0,0.0,0.0,1.0
combo_size5_o3n2_Ounder_Oover_Ohybrid_Nunder_Nhybrid,5,3,2,"old_under,old_over,old_hybrid,new_under,new_hybrid",stock_spx,chronological,0.5656098161018512,0.0,0.0,0.0,0.0,0.0,1.0
combo_size5_o3n2_Ounder_Oover_Ohybrid_Nover_Nhybrid,5,3,2,"old_under,old_over,old_hybrid,new_over,new_hybrid",stock_spx,chronological,0.5655175595055046,0.0,0.0,0.0,0.0,0.0,1.0
combo_size5_o2n3_Ounder_Oover_Nunder_Nover_Nhybrid,5,2,3,"old_under,old_over,new_under,new_over,new_hybrid",stock_spx,chronological,0.5568531274986162,0.0,0.0,0.0,0.0,0.0,1.0
combo_size5_o2n3_Ounder_Ohybrid_Nunder_Nover_Nhybrid,5,2,3,"old_under,old_hybrid,new_under,new_over,new_hybrid",stock_spx,chronological,0.5641029583615228,0.0,0.0,0.0,0.0,0.0,1.0
combo_size5_o2n3_Oover_Ohybrid_Nunder_Nover_Nhybrid,5,2,3,"old_over,old_hybrid,new_under,new_over,new_hybrid",stock_spx,chronological,0.5562073313241896,0.0,0.0,0.0,0.0,0.0,1.0
combo_size6_o3n3_Ounder_Oover_Ohybrid_Nunder_Nover_Nhybrid,6,3,3,"old_under,old_over,old_hybrid,new_under,new_over,new_hybrid",stock_spx,chronological,0.5655021834061136,0.0,0.0,0.0,0.0,0.0,1.0
combo_size2_o1n1_Ounder_Nunder,2,1,1,"old_under,new_under",stock_spx,block_cv,0.5109118629301582,0.0,0.0,0.0,0.0,0.012371134020618556,1.0
combo_size2_o1n1_Ounder_Nover,2,1,1,"old_under,new_over",stock_spx,block_cv,0.5230797154058371,0.0,0.0,0.0,0.0,0.0010309278350515464,1.0
combo_size2_o1n1_Ounder_Nhybrid,2,1,1,"old_under,new_hybrid",stock_spx,block_cv,0.5169812690576449,0.0,0.0,0.0,0.0,0.004123711340206186,1.0
combo_size2_o1n1_Oover_Nunder,2,1,1,"old_over,new_under",stock_spx,block_cv,0.49943371569623923,0.0,0.0,0.0,0.0,0.007216494845360825,1.0
combo_size2_o1n1_Oover_Nover,2,1,1,"old_over,new_over",stock_spx,block_cv,0.5093582111224045,0.0,0.0,0.0,0.0,0.004123711340206186,1.0
combo_size2_o1n1_Oover_Nhybrid,2,1,1,"old_over,new_hybrid",stock_spx,block_cv,0.5076738783214753,0.0,0.0,0.0,0.0,0.0010309278350515464,1.0
combo_size2_o1n1_Ohybrid_Nunder,2,1,1,"old_hybrid,new_under",stock_spx,block_cv,0.5676564541890519,0.1477832512315271,0.4310276232036305,0.2112676056338028,0.11363636363636363,0.12061855670103093,0.7887323943661971
combo_size2_o1n1_Ohybrid_Nover,2,1,1,"old_hybrid,new_over",stock_spx,block_cv,0.5777624509946275,0.1607717041800643,0.5235141668664088,0.352112676056338,0.10416666666666667,0.22164948453608246,0.647887323943662
combo_size2_o1n1_Ohybrid_Nhybrid,2,1,1,"old_hybrid,new_hybrid",stock_spx,block_cv,0.5768041237113402,0.16560509554140126,0.411483908342054,0.18309859154929578,0.1511627906976744,0.07525773195876288,0.8169014084507042
combo_size3_o2n1_Ounder_Oover_Nunder,3,2,1,"old_under,old_over,new_under",stock_spx,block_cv,0.5061565267896035,0.1301989150090416,0.5233615974600628,0.5070422535211268,0.07468879668049792,0.45979381443298967,0.49295774647887325
combo_size3_o2n1_Ounder_Oover_Nover,3,2,1,"old_under,old_over,new_over",stock_spx,block_cv,0.5122694932481486,0.13114754098360656,0.5253553631464684,0.5070422535211268,0.07531380753138076,0.4556701030927835,0.49295774647887325
combo_size3_o2n1_Ounder_Oover_Nhybrid,3,2,1,"old_under,old_over,new_hybrid",stock_spx,block_cv,0.5105924205023958,0.13090909090909092,0.5248576317574657,0.5070422535211268,0.07515657620041753,0.45670103092783504,0.49295774647887325
combo_size3_o2n1_Ounder_Ohybrid_Nunder,3,2,1,"old_under,old_hybrid,new_under",stock_spx,block_cv,0.5194351677072746,0.12386156648451731,0.5095857666283145,0.4788732394366197,0.07112970711297072,0.4577319587628866,0.5211267605633803
combo_size3_o2n1_Ounder_Ohybrid_Nover,3,2,1,"old_under,old_hybrid,new_over",stock_spx,block_cv,0.5276462901118049,0.1256931608133087,0.5134463200434288,0.4788732394366197,0.07234042553191489,0.44948453608247424,0.5211267605633803
combo_size3_o2n1_Ounder_Ohybrid_Nhybrid,3,2,1,"old_under,old_hybrid,new_hybrid",stock_spx,block_cv,0.5246333672135908,0.125,0.5120020237363809,0.4788732394366197,0.07188160676532769,0.45257731958762887,0.5211267605633803
combo_size3_o1n2_Ounder_Nunder_Nover,3,1,2,"old_under,new_under,new_over",stock_spx,block_cv,0.5117975896616814,0.0,0.0,0.0,0.0,0.003092783505154639,1.0
combo_size3_o1n2_Ounder_Nunder_Nhybrid,3,1,2,"old_under,new_under,new_hybrid",stock_spx,block_cv,0.5061855670103093,0.0,0.0,0.0,0.0,0.006185567010309278,1.0
combo_size3_o1n2_Ounder_Nover_Nhybrid,3,1,2,"old_under,new_over,new_hybrid",stock_spx,block_cv,0.5179686365616378,0.0,0.0,0.0,0.0,0.0,1.0
combo_size3_o2n1_Oover_Ohybrid_Nunder,3,2,1,"old_over,old_hybrid,new_under",stock_spx,block_cv,0.532307245535066,0.12359550561797752,0.5086731430767555,0.4647887323943662,0.07127429805615551,0.44329896907216493,0.5352112676056338
combo_size3_o2n1_Oover_Ohybrid_Nover,3,2,1,"old_over,old_hybrid,new_over",stock_spx,block_cv,0.538485552490199,0.12595419847328243,0.5133614739187409,0.4647887323943662,0.0728476821192053,0.4329896907216495,0.5352112676056338
combo_size3_o2n1_Oover_Ohybrid_Nhybrid,3,2,1,"old_over,old_hybrid,new_hybrid",stock_spx,block_cv,0.5362131552199796,0.12547528517110265,0.5124272393430453,0.4647887323943662,0.07252747252747253,0.4350515463917526,0.5352112676056338
combo_size3_o1n2_Oover_Nunder_Nover,3,1,2,"old_over,new_under,new_over",stock_spx,block_cv,0.5012051691592856,0.0,0.0,0.0,0.0,0.0,1.0
combo_size3_o1n2_Oover_Nunder_Nhybrid,3,1,2,"old_over,new_under,new_hybrid",stock_spx,block_cv,0.49992739944823583,0.0,0.0,0.0,0.0,0.003092783505154639,1.0
combo_size3_o1n2_Oover_Nover_Nhybrid,3,1,2,"old_over,new_over,new_hybrid",stock_spx,block_cv,0.5089226078118193,0.0,0.0,0.0,0.0,0.0,1.0
combo_size3_o1n2_Ohybrid_Nunder_Nover,3,1,2,"old_hybrid,new_under,new_over",stock_spx,block_cv,0.5722012487294903,0.0,0.0,0.0,0.0,0.013402061855670102,1.0
combo_size3_o1n2_Ohybrid_Nunder_Nhybrid,3,1,2,"old_hybrid,new_under,new_hybrid",stock_spx,block_cv,0.5743284448961812,0.0,0.0,0.0,0.0,0.01752577319587629,1.0
combo_size3_o1n2_Ohybrid_Nover_Nhybrid,3,1,2,"old_hybrid,new_over,new_hybrid",stock_spx,block_cv,0.5823072455350661,0.0,0.0,0.0,0.0,0.0,1.0
combo_size4_o3n1_Ounder_Oover_Ohybrid_Nunder,4,3,1,"old_under,old_over,old_hybrid,new_under",stock_spx,block_cv,0.5114854072890953,0.11986301369863013,0.5000362989582677,0.49295774647887325,0.0682261208576998,0.4927835051546392,0.5070422535211268
combo_size4_o3n1_Ounder_Oover_Ohybrid_Nover,4,3,1,"old_under,old_over,old_hybrid,new_over",stock_spx,block_cv,0.5164730651952955,0.12089810017271158,0.5025707110324167,0.49295774647887325,0.0688976377952756,0.48762886597938143,0.5070422535211268
