dataset,ensemble,type,subset,subset_indices,AUC
O8 + N8,OldNew,under,,,0.8252
O8 + N8,OldNew,over,,,0.7708
O8 + N8,OldNew,hybrid,,,0.8041
O10 + N6,2models,k_subset,Old_under+New_under,"0,3",0.8222
O10 + N6,2models,k_subset,Old_under+New_over,"0,4",0.8056
O10 + N6,2models,k_subset,Old_under+New_hybrid,"0,5",0.8259
O10 + N6,2models,k_subset,Old_over+New_under,"1,3",0.8189
O10 + N6,2models,k_subset,Old_over+New_over,"1,4",0.7908
O10 + N6,2models,k_subset,Old_over+New_hybrid,"1,5",0.8054
O10 + N6,2models,k_subset,Old_hybrid+New_under,"2,3",0.8276
O10 + N6,2models,k_subset,Old_hybrid+New_over,"2,4",0.8048
O10 + N6,2models,k_subset,Old_hybrid+New_hybrid,"2,5",0.8181
O10 + N6,2models,k_subsets_mean,,,0.8133
O10 + N6,3models,k_subset,Old_under+Old_over+New_under,"0,1,3",0.8128
O10 + N6,3models,k_subset,Old_under+Old_over+New_over,"0,1,4",0.7959
O10 + N6,3models,k_subset,Old_under+Old_over+New_hybrid,"0,1,5",0.8101
O10 + N6,3models,k_subset,Old_under+Old_hybrid+New_under,"0,2,3",0.8218
O10 + N6,3models,k_subset,Old_under+Old_hybrid+New_over,"0,2,4",0.8063
O10 + N6,3models,k_subset,Old_under+Old_hybrid+New_hybrid,"0,2,5",0.8194
O10 + N6,3models,k_subset,Old_under+New_under+New_over,"0,3,4",0.8378
O10 + N6,3models,k_subset,Old_under+New_under+New_hybrid,"0,3,5",0.8468
O10 + N6,3models,k_subset,Old_under+New_over+New_hybrid,"0,4,5",0.8335
O10 + N6,3models,k_subset,Old_over+Old_hybrid+New_under,"1,2,3",0.8111
O10 + N6,3models,k_subset,Old_over+Old_hybrid+New_over,"1,2,4",0.7907
O10 + N6,3models,k_subset,Old_over+Old_hybrid+New_hybrid,"1,2,5",0.8024
O10 + N6,3models,k_subset,Old_over+New_under+New_over,"1,3,4",0.8296
O10 + N6,3models,k_subset,Old_over+New_under+New_hybrid,"1,3,5",0.8354
O10 + N6,3models,k_subset,Old_over+New_over+New_hybrid,"1,4,5",0.8174
O10 + N6,3models,k_subset,Old_hybrid+New_under+New_over,"2,3,4",0.8354
O10 + N6,3models,k_subset,Old_hybrid+New_under+New_hybrid,"2,3,5",0.8417
O10 + N6,3models,k_subset,Old_hybrid+New_over+New_hybrid,"2,4,5",0.8251
O10 + N6,3models,k_subsets_mean,,,0.8207
O10 + N6,4models,k_subset,Old_under+Old_over+Old_hybrid+New_under,"0,1,2,3",0.8089
O10 + N6,4models,k_subset,Old_under+Old_over+Old_hybrid+New_over,"0,1,2,4",0.7952
O10 + N6,4models,k_subset,Old_under+Old_over+Old_hybrid+New_hybrid,"0,1,2,5",0.8058
O10 + N6,4models,k_subset,Old_under+Old_over+New_under+New_over,"0,1,3,4",0.8283
O10 + N6,4models,k_subset,Old_under+Old_over+New_under+New_hybrid,"0,1,3,5",0.8355
O10 + N6,4models,k_subset,Old_under+Old_over+New_over+New_hybrid,"0,1,4,5",0.8226
O10 + N6,4models,k_subset,Old_under+Old_hybrid+New_under+New_over,"0,2,3,4",0.8338
O10 + N6,4models,k_subset,Old_under+Old_hybrid+New_under+New_hybrid,"0,2,3,5",0.8412
O10 + N6,4models,k_subset,Old_under+Old_hybrid+New_over+New_hybrid,"0,2,4,5",0.8287
O10 + N6,4models,k_subset,Old_under+New_under+New_over+New_hybrid,"0,3,4,5",0.8476
O10 + N6,4models,k_subset,Old_over+Old_hybrid+New_under+New_over,"1,2,3,4",0.8234
O10 + N6,4models,k_subset,Old_over+Old_hybrid+New_under+New_hybrid,"1,2,3,5",0.8297
O10 + N6,4models,k_subset,Old_over+Old_hybrid+New_over+New_hybrid,"1,2,4,5",0.8145
O10 + N6,4models,k_subset,Old_over+New_under+New_over+New_hybrid,"1,3,4,5",0.8367
O10 + N6,4models,k_subset,Old_hybrid+New_under+New_over+New_hybrid,"2,3,4,5",0.8414
O10 + N6,4models,k_subsets_mean,,,0.8262
O10 + N6,5models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_over,"0,1,2,3,4",0.8231
O10 + N6,5models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_hybrid,"0,1,2,3,5",0.8296
O10 + N6,5models,k_subset,Old_under+Old_over+Old_hybrid+New_over+New_hybrid,"0,1,2,4,5",0.8180
O10 + N6,5models,k_subset,Old_under+Old_over+New_under+New_over+New_hybrid,"0,1,3,4,5",0.8389
O10 + N6,5models,k_subset,Old_under+Old_hybrid+New_under+New_over+New_hybrid,"0,2,3,4,5",0.8431
O10 + N6,5models,k_subset,Old_over+Old_hybrid+New_under+New_over+New_hybrid,"1,2,3,4,5",0.8328
O10 + N6,5models,k_subsets_mean,,,0.8309
O10 + N6,6models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_over+New_hybrid,"0,1,2,3,4,5",0.8341
O10 + N6,6models,k_subsets_mean,,,0.8341
O10 + N6,New,under,,,0.8397
O10 + N6,New,over,,,0.8099
O10 + N6,New,hybrid,,,0.8280
O10 + N6,Old,under,,,0.7197
O10 + N6,Old,over,,,0.7057
O10 + N6,Old,hybrid,,,0.7515
O10 + N6,OldNew,under,,,0.8222
O10 + N6,OldNew,over,,,0.7908
O10 + N6,OldNew,hybrid,,,0.8181
O12 + N4,2models,k_subset,Old_under+New_under,"0,3",0.8318
O12 + N4,2models,k_subset,Old_under+New_over,"0,4",0.8273
O12 + N4,2models,k_subset,Old_under+New_hybrid,"0,5",0.8393
O12 + N4,2models,k_subset,Old_over+New_under,"1,3",0.8137
O12 + N4,2models,k_subset,Old_over+New_over,"1,4",0.7927
O12 + N4,2models,k_subset,Old_over+New_hybrid,"1,5",0.8135
O12 + N4,2models,k_subset,Old_hybrid+New_under,"2,3",0.8387
O12 + N4,2models,k_subset,Old_hybrid+New_over,"2,4",0.8211
O12 + N4,2models,k_subset,Old_hybrid+New_hybrid,"2,5",0.8331
O12 + N4,2models,k_subsets_mean,,,0.8235
O12 + N4,3models,k_subset,Old_under+Old_over+New_under,"0,1,3",0.8201
O12 + N4,3models,k_subset,Old_under+Old_over+New_over,"0,1,4",0.8107
O12 + N4,3models,k_subset,Old_under+Old_over+New_hybrid,"0,1,5",0.8238
O12 + N4,3models,k_subset,Old_under+Old_hybrid+New_under,"0,2,3",0.8349
O12 + N4,3models,k_subset,Old_under+Old_hybrid+New_over,"0,2,4",0.8268
O12 + N4,3models,k_subset,Old_under+Old_hybrid+New_hybrid,"0,2,5",0.8347
O12 + N4,3models,k_subset,Old_under+New_under+New_over,"0,3,4",0.8503
O12 + N4,3models,k_subset,Old_under+New_under+New_hybrid,"0,3,5",0.8532
O12 + N4,3models,k_subset,Old_under+New_over+New_hybrid,"0,4,5",0.8468
O12 + N4,3models,k_subset,Old_over+Old_hybrid+New_under,"1,2,3",0.8176
O12 + N4,3models,k_subset,Old_over+Old_hybrid+New_over,"1,2,4",0.8035
