dataset,split,ensemble,type,subset,subset_indices,AUC,F1,Recall
O8 + N8,split_8+8,3models,k_subset,Old_hybrid+New_under+New_hybrid,"2,3,5",0.8401,0.2379,0.4634
O8 + N8,split_8+8,3models,k_subset,Old_hybrid+New_over+New_hybrid,"2,4,5",0.8172,0.2000,0.4425
O8 + N8,split_8+8,3models,k_subsets_mean,,,0.8069,0.1867,0.3844
O8 + N8,split_8+8,4models,k_subset,Old_under+Old_over+Old_hybrid+New_under,"0,1,2,3",0.7748,0.1421,0.2822
O8 + N8,split_8+8,4models,k_subset,Old_under+Old_over+Old_hybrid+New_over,"0,1,2,4",0.7517,0.1225,0.2822
O8 + N8,split_8+8,4models,k_subset,Old_under+Old_over+Old_hybrid+New_hybrid,"0,1,2,5",0.7741,0.1308,0.2892
O8 + N8,split_8+8,4models,k_subset,Old_under+Old_over+New_under+New_over,"0,1,3,4",0.8171,0.2033,0.3449
O8 + N8,split_8+8,4models,k_subset,Old_under+Old_over+New_under+New_hybrid,"0,1,3,5",0.8311,0.2148,0.4390
O8 + N8,split_8+8,4models,k_subset,Old_under+Old_over+New_over+New_hybrid,"0,1,4,5",0.8120,0.1776,0.4007
O8 + N8,split_8+8,4models,k_subset,Old_under+Old_hybrid+New_under+New_over,"0,2,3,4",0.8203,0.1951,0.3763
O8 + N8,split_8+8,4models,k_subset,Old_under+Old_hybrid+New_under+New_hybrid,"0,2,3,5",0.8335,0.1924,0.5192
O8 + N8,split_8+8,4models,k_subset,Old_under+Old_hybrid+New_over+New_hybrid,"0,2,4,5",0.8160,0.1779,0.3902
O8 + N8,split_8+8,4models,k_subset,Old_under+New_under+New_over+New_hybrid,"0,3,4,5",0.8525,0.2562,0.3972
O8 + N8,split_8+8,4models,k_subset,Old_over+Old_hybrid+New_under+New_over,"1,2,3,4",0.8069,0.1682,0.4181
O8 + N8,split_8+8,4models,k_subset,Old_over+Old_hybrid+New_under+New_hybrid,"1,2,3,5",0.8187,0.1841,0.4077
O8 + N8,split_8+8,4models,k_subset,Old_over+Old_hybrid+New_over+New_hybrid,"1,2,4,5",0.7980,0.1625,0.3659
O8 + N8,split_8+8,4models,k_subset,Old_over+New_under+New_over+New_hybrid,"1,3,4,5",0.8372,0.2283,0.3937
O8 + N8,split_8+8,4models,k_subset,Old_hybrid+New_under+New_over+New_hybrid,"2,3,4,5",0.8407,0.2330,0.4251
O8 + N8,split_8+8,4models,k_subsets_mean,,,0.8123,0.1859,0.3821
