dataset,ensemble,type,subset,subset_indices,Recall
O5 + N11,4models,k_subset,Old_under+Old_over+Old_hybrid+New_under,"0,1,2,3",0.4425
O5 + N11,4models,k_subset,Old_under+Old_over+Old_hybrid+New_over,"0,1,2,4",0.4355
O5 + N11,4models,k_subset,Old_under+Old_over+Old_hybrid+New_hybrid,"0,1,2,5",0.5610
O5 + N11,4models,k_subset,Old_under+Old_over+New_under+New_over,"0,1,3,4",0.5157
O5 + N11,4models,k_subset,Old_under+Old_over+New_under+New_hybrid,"0,1,3,5",0.5261
O5 + N11,4models,k_subset,Old_under+Old_over+New_over+New_hybrid,"0,1,4,5",0.4878
O5 + N11,4models,k_subset,Old_under+Old_hybrid+New_under+New_over,"0,2,3,4",0.4808
O5 + N11,4models,k_subset,Old_under+Old_hybrid+New_under+New_hybrid,"0,2,3,5",0.5331
O5 + N11,4models,k_subset,Old_under+Old_hybrid+New_over+New_hybrid,"0,2,4,5",0.5192
O5 + N11,4models,k_subset,Old_under+New_under+New_over+New_hybrid,"0,3,4,5",0.5261
O5 + N11,4models,k_subset,Old_over+Old_hybrid+New_under+New_over,"1,2,3,4",0.5261
O5 + N11,4models,k_subset,Old_over+Old_hybrid+New_under+New_hybrid,"1,2,3,5",0.5401
O5 + N11,4models,k_subset,Old_over+Old_hybrid+New_over+New_hybrid,"1,2,4,5",0.5226
O5 + N11,4models,k_subset,Old_over+New_under+New_over+New_hybrid,"1,3,4,5",0.4948
O5 + N11,4models,k_subset,Old_hybrid+New_under+New_over+New_hybrid,"2,3,4,5",0.5122
O5 + N11,4models,k_subsets_mean,,,0.5082
O5 + N11,5models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_over,"0,1,2,3,4",0.3937
O5 + N11,5models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_hybrid,"0,1,2,3,5",0.5331
O5 + N11,5models,k_subset,Old_under+Old_over+Old_hybrid+New_over+New_hybrid,"0,1,2,4,5",0.4286
O5 + N11,5models,k_subset,Old_under+Old_over+New_under+New_over+New_hybrid,"0,1,3,4,5",0.5784
O5 + N11,5models,k_subset,Old_under+Old_hybrid+New_under+New_over+New_hybrid,"0,2,3,4,5",0.5436
O5 + N11,5models,k_subset,Old_over+Old_hybrid+New_under+New_over+New_hybrid,"1,2,3,4,5",0.4983
O5 + N11,5models,k_subsets_mean,,,0.4959
O5 + N11,6models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_over+New_hybrid,"0,1,2,3,4,5",0.4983
O5 + N11,6models,k_subsets_mean,,,0.4983
O5 + N11,New,under,,,0.5645
O5 + N11,New,over,,,0.4390
O5 + N11,New,hybrid,,,0.5645
O5 + N11,Old,under,,,0.1986
O5 + N11,Old,over,,,0.2613
O5 + N11,Old,hybrid,,,0.3136
O5 + N11,OldNew,under,,,0.5087
O5 + N11,OldNew,over,,,0.4321
O5 + N11,OldNew,hybrid,,,0.5749
O6 + N10,2models,k_subset,Old_under+New_under,"0,3",0.4843
O6 + N10,2models,k_subset,Old_under+New_over,"0,4",0.5226
O6 + N10,2models,k_subset,Old_under+New_hybrid,"0,5",0.5993
O6 + N10,2models,k_subset,Old_over+New_under,"1,3",0.5122
O6 + N10,2models,k_subset,Old_over+New_over,"1,4",0.4669
O6 + N10,2models,k_subset,Old_over+New_hybrid,"1,5",0.6132
O6 + N10,2models,k_subset,Old_hybrid+New_under,"2,3",0.4460
O6 + N10,2models,k_subset,Old_hybrid+New_over,"2,4",0.4634
O6 + N10,2models,k_subset,Old_hybrid+New_hybrid,"2,5",0.6167
O6 + N10,2models,k_subsets_mean,,,0.5250
O6 + N10,3models,k_subset,Old_under+Old_over+New_under,"0,1,3",0.3972
O6 + N10,3models,k_subset,Old_under+Old_over+New_over,"0,1,4",0.4774
O6 + N10,3models,k_subset,Old_under+Old_over+New_hybrid,"0,1,5",0.6098
O6 + N10,3models,k_subset,Old_under+Old_hybrid+New_under,"0,2,3",0.4181
O6 + N10,3models,k_subset,Old_under+Old_hybrid+New_over,"0,2,4",0.3972
O6 + N10,3models,k_subset,Old_under+Old_hybrid+New_hybrid,"0,2,5",0.4983
O6 + N10,3models,k_subset,Old_under+New_under+New_over,"0,3,4",0.5714
O6 + N10,3models,k_subset,Old_under+New_under+New_hybrid,"0,3,5",0.6028
O6 + N10,3models,k_subset,Old_under+New_over+New_hybrid,"0,4,5",0.6411
O6 + N10,3models,k_subset,Old_over+Old_hybrid+New_under,"1,2,3",0.4564
O6 + N10,3models,k_subset,Old_over+Old_hybrid+New_over,"1,2,4",0.4843
