split,drift_start_year,old_window,new_window,fs_variant,method,selected_component,w_new,threshold,val_AUC,test_AUC,val_F1,test_F1,val_G_Mean,test_G_Mean,val_Recall,test_Recall,val_Precision,test_Precision,val_Type1_Error,test_Type1_Error,val_Type2_Error,test_Type2_Error
split_5+11,2004,1999-2003,2004-2014,fs,Equal6,Old3/New3 equal weight,0.50000000,0.40000000,0.68365307,0.77331321,0.24268689,0.12570781,0.54254601,0.58536366,0.33300297,0.38675958,0.19090909,0.07505071,0.11605542,0.11404752,0.66699703,0.61324042
split_5+11,2004,1999-2003,2004-2014,fs,ValBestSingle_F1,New_hybrid,,0.68000000,0.70019914,0.81097379,0.27134661,0.16553878,0.58993211,0.69705229,0.39841427,0.55400697,0.20573183,0.09730722,0.12648737,0.12296790,0.60158573,0.44599303
split_5+11,2004,1999-2003,2004-2014,fs,ValBestSingle_AUC,New_under,,0.17000000,0.71686420,0.83244877,0.26681784,0.19289340,0.55967935,0.69239773,0.34985134,0.52961672,0.21563836,0.11792087,0.10464548,0.09478950,0.65014866,0.47038328
split_5+11,2004,1999-2003,2004-2014,fs,DAWCE_F1,Old3/New3 w_new=1.00,1.00000000,0.50000000,0.70857143,0.81587958,0.26957224,0.17859488,0.54808823,0.65605764,0.33102081,0.47386760,0.22736555,0.11003236,0.09250204,0.09170488,0.66897919,0.52613240
split_5+11,2004,1999-2003,2004-2014,fs,DAWCE_AUC,Old3/New3 w_new=1.00,1.00000000,0.50000000,0.70857143,0.81587958,0.26957224,0.17859488,0.54808823,0.65605764,0.33102081,0.47386760,0.22736555,0.11003236,0.09250204,0.09170488,0.66897919,0.52613240
split_6+10,2005,1999-2004,2005-2014,no_fs,New_under,New_under,1.00000000,0.14000000,0.72346994,0.85900833,0.27710372,0.21345408,0.56461488,0.72282650,0.35329341,0.57491289,0.22794591,0.13105639,0.09766230,0.09120467,0.64670659,0.42508711
split_6+10,2005,1999-2004,2005-2014,no_fs,New3_mean,New_under+New_over+New_hybrid,1.00000000,0.39000000,0.71117974,0.84450373,0.27430294,0.19426565,0.57022964,0.71960619,0.36327345,0.57839721,0.22033898,0.11673699,0.10491162,0.10471030,0.63672655,0.42160279
split_6+10,2005,1999-2004,2005-2014,no_fs,Equal6,Old3/New3 equal weight,0.50000000,0.36000000,0.69061860,0.80801989,0.24565382,0.15913201,0.53805583,0.64217161,0.32435130,0.45993031,0.19768856,0.09620991,0.10743667,0.10337641,0.67564870,0.54006969
split_6+10,2005,1999-2004,2005-2014,no_fs,ValBestSingle_F1,New_under,,0.14000000,0.72346994,0.85900833,0.27710372,0.21345408,0.56461488,0.72282650,0.35329341,0.57491289,0.22794591,0.13105639,0.09766230,0.09120467,0.64670659,0.42508711
split_6+10,2005,1999-2004,2005-2014,no_fs,ValBestSingle_AUC,New_under,,0.14000000,0.72346994,0.85900833,0.27710372,0.21345408,0.56461488,0.72282650,0.35329341,0.57491289,0.22794591,0.13105639,0.09766230,0.09120467,0.64670659,0.42508711
split_6+10,2005,1999-2004,2005-2014,no_fs,DAWCE_F1,Old3/New3 w_new=0.90,0.90000000,0.39000000,0.71002664,0.84317275,0.27479738,0.19303604,0.56533804,0.70414104,0.35528942,0.55052265,0.22404028,0.11703704,0.10043170,0.09937474,0.64471058,0.44947735
