dataset,ensemble,type,subset,subset_indices,F1
O10 + N6,5models,k_subset,Old_over+Old_hybrid+New_under+New_over+New_hybrid,"1,2,3,4,5",0.2441
O10 + N6,5models,k_subsets_mean,,,0.2355
O10 + N6,6models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_over+New_hybrid,"0,1,2,3,4,5",0.2432
O10 + N6,6models,k_subsets_mean,,,0.2432
O10 + N6,New,under,,,0.2934
O10 + N6,New,over,,,0.2230
O10 + N6,New,hybrid,,,0.2531
O10 + N6,Old,under,,,0.1434
O10 + N6,Old,over,,,0.0977
O10 + N6,Old,hybrid,,,0.1416
O10 + N6,OldNew,under,,,0.2761
O10 + N6,OldNew,over,,,0.1643
O10 + N6,OldNew,hybrid,,,0.2107
O12 + N4,2models,k_subset,Old_under+New_under,"0,3",0.2708
O12 + N4,2models,k_subset,Old_under+New_over,"0,4",0.2420
O12 + N4,2models,k_subset,Old_under+New_hybrid,"0,5",0.2506
O12 + N4,2models,k_subset,Old_over+New_under,"1,3",0.2493
O12 + N4,2models,k_subset,Old_over+New_over,"1,4",0.1957
O12 + N4,2models,k_subset,Old_over+New_hybrid,"1,5",0.1993
O12 + N4,2models,k_subset,Old_hybrid+New_under,"2,3",0.2509
O12 + N4,2models,k_subset,Old_hybrid+New_over,"2,4",0.2282
O12 + N4,2models,k_subset,Old_hybrid+New_hybrid,"2,5",0.2218
O12 + N4,2models,k_subsets_mean,,,0.2343
O12 + N4,3models,k_subset,Old_under+Old_over+New_under,"0,1,3",0.2126
O12 + N4,3models,k_subset,Old_under+Old_over+New_over,"0,1,4",0.2030
O12 + N4,3models,k_subset,Old_under+Old_over+New_hybrid,"0,1,5",0.2376
O12 + N4,3models,k_subset,Old_under+Old_hybrid+New_under,"0,2,3",0.2542
O12 + N4,3models,k_subset,Old_under+Old_hybrid+New_over,"0,2,4",0.2364
O12 + N4,3models,k_subset,Old_under+Old_hybrid+New_hybrid,"0,2,5",0.2327
O12 + N4,3models,k_subset,Old_under+New_under+New_over,"0,3,4",0.2822
O12 + N4,3models,k_subset,Old_under+New_under+New_hybrid,"0,3,5",0.2833
O12 + N4,3models,k_subset,Old_under+New_over+New_hybrid,"0,4,5",0.2784
O12 + N4,3models,k_subset,Old_over+Old_hybrid+New_under,"1,2,3",0.2225
O12 + N4,3models,k_subset,Old_over+Old_hybrid+New_over,"1,2,4",0.2002
O12 + N4,3models,k_subset,Old_over+Old_hybrid+New_hybrid,"1,2,5",0.2161
