dataset,ensemble,type,subset,subset_indices,Recall
O10 + N6,4models,k_subset,Old_under+Old_over+Old_hybrid+New_over,"0,1,2,4",0.3101
O10 + N6,4models,k_subset,Old_under+Old_over+Old_hybrid+New_hybrid,"0,1,2,5",0.4321
O10 + N6,4models,k_subset,Old_under+Old_over+New_under+New_over,"0,1,3,4",0.3659
O10 + N6,4models,k_subset,Old_under+Old_over+New_under+New_hybrid,"0,1,3,5",0.3868
O10 + N6,4models,k_subset,Old_under+Old_over+New_over+New_hybrid,"0,1,4,5",0.4251
O10 + N6,4models,k_subset,Old_under+Old_hybrid+New_under+New_over,"0,2,3,4",0.3728
O10 + N6,4models,k_subset,Old_under+Old_hybrid+New_under+New_hybrid,"0,2,3,5",0.3833
O10 + N6,4models,k_subset,Old_under+Old_hybrid+New_over+New_hybrid,"0,2,4,5",0.4460
O10 + N6,4models,k_subset,Old_under+New_under+New_over+New_hybrid,"0,3,4,5",0.4808
O10 + N6,4models,k_subset,Old_over+Old_hybrid+New_under+New_over,"1,2,3,4",0.2962
O10 + N6,4models,k_subset,Old_over+Old_hybrid+New_under+New_hybrid,"1,2,3,5",0.3449
O10 + N6,4models,k_subset,Old_over+Old_hybrid+New_over+New_hybrid,"1,2,4,5",0.3868
O10 + N6,4models,k_subset,Old_over+New_under+New_over+New_hybrid,"1,3,4,5",0.4634
O10 + N6,4models,k_subset,Old_hybrid+New_under+New_over+New_hybrid,"2,3,4,5",0.3868
O10 + N6,4models,k_subsets_mean,,,0.3912
O10 + N6,5models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_over,"0,1,2,3,4",0.3171
O10 + N6,5models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_hybrid,"0,1,2,3,5",0.3624
O10 + N6,5models,k_subset,Old_under+Old_over+Old_hybrid+New_over+New_hybrid,"0,1,2,4,5",0.3519
O10 + N6,5models,k_subset,Old_under+Old_over+New_under+New_over+New_hybrid,"0,1,3,4,5",0.4286
O10 + N6,5models,k_subset,Old_under+Old_hybrid+New_under+New_over+New_hybrid,"0,2,3,4,5",0.4321
O10 + N6,5models,k_subset,Old_over+Old_hybrid+New_under+New_over+New_hybrid,"1,2,3,4,5",0.3937
O10 + N6,5models,k_subsets_mean,,,0.3810
O10 + N6,6models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_over+New_hybrid,"0,1,2,3,4,5",0.3101
O10 + N6,6models,k_subsets_mean,,,0.3101
O10 + N6,New,under,,,0.3624
O10 + N6,New,over,,,0.3310
O10 + N6,New,hybrid,,,0.3868
O10 + N6,Old,under,,,0.3240
O10 + N6,Old,over,,,0.2300
O10 + N6,Old,hybrid,,,0.3380
O10 + N6,OldNew,under,,,0.3728
O10 + N6,OldNew,over,,,0.4042
O10 + N6,OldNew,hybrid,,,0.4042
O12 + N4,2models,k_subset,Old_under+New_under,"0,3",0.3693
O12 + N4,2models,k_subset,Old_under+New_over,"0,4",0.3833
O12 + N4,2models,k_subset,Old_under+New_hybrid,"0,5",0.3902
O12 + N4,2models,k_subset,Old_over+New_under,"1,3",0.3275
O12 + N4,2models,k_subset,Old_over+New_over,"1,4",0.4425
O12 + N4,2models,k_subset,Old_over+New_hybrid,"1,5",0.4111
O12 + N4,2models,k_subset,Old_hybrid+New_under,"2,3",0.2404
O12 + N4,2models,k_subset,Old_hybrid+New_over,"2,4",0.3275
O12 + N4,2models,k_subset,Old_hybrid+New_hybrid,"2,5",0.4321
O12 + N4,2models,k_subsets_mean,,,0.3693
O12 + N4,3models,k_subset,Old_under+Old_over+New_under,"0,1,3",0.3693
O12 + N4,3models,k_subset,Old_under+Old_over+New_over,"0,1,4",0.4425
O12 + N4,3models,k_subset,Old_under+Old_over+New_hybrid,"0,1,5",0.3171
O12 + N4,3models,k_subset,Old_under+Old_hybrid+New_under,"0,2,3",0.3136
O12 + N4,3models,k_subset,Old_under+Old_hybrid+New_over,"0,2,4",0.3415
O12 + N4,3models,k_subset,Old_under+Old_hybrid+New_hybrid,"0,2,5",0.3519
O12 + N4,3models,k_subset,Old_under+New_under+New_over,"0,3,4",0.3171
O12 + N4,3models,k_subset,Old_under+New_under+New_hybrid,"0,3,5",0.2892
O12 + N4,3models,k_subset,Old_under+New_over+New_hybrid,"0,4,5",0.3240
O12 + N4,3models,k_subset,Old_over+Old_hybrid+New_under,"1,2,3",0.2753
O12 + N4,3models,k_subset,Old_over+Old_hybrid+New_over,"1,2,4",0.3171
