split,method,sampling,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error,tune_val_auc,tune_best_params
split_7+9,New,none,0.813755,0.159292,0.699909,0.564460,0.092730,0.132138,0.435540,0.776368,"{""d_block"": 512, ""dropout"": 0.3, ""k"": 24, ""lr"": 0.001, ""n_blocks"": 3, ""use_num_embeddings"": false, ""weight_decay"": 0.0003}"
split_7+9,New,undersampling,0.817000,0.200288,0.667441,0.484321,0.126249,0.080200,0.515679,0.780990,"{""d_block"": 256, ""d_embedding"": 8, ""dropout"": 0.2, ""k"": 24, ""lr"": 0.003, ""n_blocks"": 2, ""use_num_embeddings"": true, ""weight_decay"": 0.0003}"
split_7+9,New,oversampling,0.809236,0.178218,0.613818,0.407666,0.114035,0.075782,0.592334,0.801284,"{""d_block"": 512, ""d_embedding"": 16, ""dropout"": 0.2, ""k"": 24, ""lr"": 0.002, ""n_blocks"": 2, ""use_num_embeddings"": true, ""weight_decay"": 0.0001}"
split_7+9,New,hybrid,0.848510,0.216912,0.622687,0.411150,0.147316,0.056940,0.588850,0.820123,"{""d_block"": 256, ""d_embedding"": 8, ""dropout"": 0.2, ""k"": 32, ""lr"": 0.002, ""n_blocks"": 3, ""use_num_embeddings"": true, ""weight_decay"": 0.0001}"
split_8+8,Old,none,0.684215,0.090364,0.539146,0.341463,0.052072,0.148729,0.658537,0.685348,"{""d_block"": 256, ""d_embedding"": 16, ""dropout"": 0.1, ""k"": 32, ""lr"": 0.002, ""n_blocks"": 4, ""use_num_embeddings"": true, ""weight_decay"": 1e-05}"
split_8+8,Old,undersampling,0.671627,0.073689,0.602498,0.519164,0.039659,0.300792,0.480836,0.704352,"{""d_block"": 512, ""d_embedding"": 16, ""dropout"": 0.2, ""k"": 24, ""lr"": 0.002, ""n_blocks"": 3, ""use_num_embeddings"": true, ""weight_decay"": 0.001}"
split_8+8,Old,oversampling,0.606723,0.068281,0.496026,0.299652,0.038530,0.178908,0.700348,0.746847,"{""d_block"": 512, ""dropout"": 0.1, ""k"": 24, ""lr"": 0.003, ""n_blocks"": 4, ""use_num_embeddings"": false, ""weight_decay"": 0.0003}"
split_8+8,Old,hybrid,0.640605,0.075787,0.480608,0.268293,0.044126,0.139058,0.731707,0.758975,"{""d_block"": 512, ""d_embedding"": 8, ""dropout"": 0.2, ""k"": 24, ""lr"": 0.003, ""n_blocks"": 3, ""use_num_embeddings"": true, ""weight_decay"": 0.0003}"
split_8+8,New,none,0.802274,0.170759,0.687760,0.533101,0.101661,0.112714,0.466899,0.782562,"{""d_block"": 384, ""dropout"": 0.1, ""k"": 16, ""lr"": 0.002, ""n_blocks"": 2, ""use_num_embeddings"": false, ""weight_decay"": 0.0001}"
split_8+8,New,undersampling,0.771226,0.209412,0.545757,0.310105,0.158082,0.039516,0.689895,0.777786,"{""d_block"": 128, ""d_embedding"": 8, ""dropout"": 0.1, ""k"": 16, ""lr"": 0.003, ""n_blocks"": 4, ""use_num_embeddings"": true, ""weight_decay"": 1e-05}"
split_8+8,New,oversampling,0.807820,0.189831,0.604016,0.390244,0.125420,0.065110,0.609756,0.812180,"{""d_block"": 512, ""dropout"": 0.3, ""k"": 16, ""lr"": 0.001, ""n_blocks"": 4, ""use_num_embeddings"": false, ""weight_decay"": 0.001}"
split_8+8,New,hybrid,0.838214,0.218868,0.618096,0.404181,0.150065,0.054773,0.595819,0.823730,"{""d_block"": 256, ""dropout"": 0.2, ""k"": 32, ""lr"": 0.001, ""n_blocks"": 4, ""use_num_embeddings"": false, ""weight_decay"": 0.0001}"
split_9+7,Old,none,0.703065,0.103649,0.546436,0.341463,0.061097,0.125552,0.658537,0.699884,"{""d_block"": 384, ""dropout"": 0.1, ""k"": 32, ""lr"": 0.002, ""n_blocks"": 4, ""use_num_embeddings"": false, ""weight_decay"": 0.0003}"
split_9+7,Old,undersampling,0.681011,0.083773,0.600452,0.470383,0.045981,0.233514,0.529617,0.709510,"{""d_block"": 256, ""d_embedding"": 16, ""dropout"": 0.1, ""k"": 32, ""lr"": 0.002, ""n_blocks"": 4, ""use_num_embeddings"": true, ""weight_decay"": 1e-05}"
split_9+7,Old,oversampling,0.663547,0.080194,0.452964,0.229965,0.048565,0.107795,0.770035,0.744835,"{""d_block"": 256, ""d_embedding"": 8, ""dropout"": 0.2, ""k"": 24, ""lr"": 0.003, ""n_blocks"": 4, ""use_num_embeddings"": true, ""weight_decay"": 0.0003}"
split_9+7,Old,hybrid,0.655202,0.081633,0.491657,0.278746,0.047818,0.132805,0.721254,0.749646,"{""d_block"": 256, ""d_embedding"": 16, ""dropout"": 0.3, ""k"": 24, ""lr"": 0.002, ""n_blocks"": 3, ""use_num_embeddings"": true, ""weight_decay"": 0.001}"
split_9+7,New,none,0.780444,0.207447,0.512844,0.271777,0.167742,0.032263,0.728223,0.794968,"{""d_block"": 128, ""d_embedding"": 16, ""dropout"": 0.2, ""k"": 24, ""lr"": 0.003, ""n_blocks"": 3, ""use_num_embeddings"": true, ""weight_decay"": 0.0001}"
split_9+7,New,undersampling,0.800734,0.209070,0.662708,0.473868,0.134122,0.073197,0.526132,0.793605,"{""d_block"": 512, ""dropout"": 0.3, ""k"": 16, ""lr"": 0.003, ""n_blocks"": 2, ""use_num_embeddings"": false, ""weight_decay"": 0.001}"
split_9+7,New,oversampling,0.832391,0.220676,0.605934,0.386760,0.154381,0.050688,0.613240,0.828673,"{""d_block"": 512, ""d_embedding"": 16, ""dropout"": 0.2, ""k"": 32, ""lr"": 0.001, ""n_blocks"": 4, ""use_num_embeddings"": true, ""weight_decay"": 0.0001}"
split_9+7,New,hybrid,0.845229,0.203191,0.627759,0.421603,0.133850,0.065277,0.578397,0.845850,"{""d_block"": 512, ""d_embedding"": 8, ""dropout"": 0.3, ""k"": 32, ""lr"": 0.001, ""n_blocks"": 4, ""use_num_embeddings"": true, ""weight_decay"": 0.0003}"
split_10+6,Old,none,0.727736,0.081662,0.642636,0.602787,0.043797,0.314881,0.397213,0.697520,"{""d_block"": 512, ""d_embedding"": 8, ""dropout"": 0.3, ""k"": 16, ""lr"": 0.003, ""n_blocks"": 2, ""use_num_embeddings"": true, ""weight_decay"": 1e-05}"
split_10+6,Old,undersampling,0.731294,0.103806,0.562234,0.365854,0.060484,0.135973,0.634146,0.708292,"{""d_block"": 512, ""d_embedding"": 16, ""dropout"": 0.3, ""k"": 24, ""lr"": 0.002, ""n_blocks"": 3, ""use_num_embeddings"": true, ""weight_decay"": 0.001}"
split_10+6,Old,oversampling,0.680906,0.097531,0.496472,0.275261,0.059265,0.104544,0.724739,0.745833,"{""d_block"": 512, ""dropout"": 0.1, ""k"": 24, ""lr"": 0.002, ""n_blocks"": 4, ""use_num_embeddings"": false, ""weight_decay"": 0.001}"
split_10+6,Old,hybrid,0.705666,0.101785,0.492537,0.268293,0.062806,0.095790,0.731707,0.754743,"{""d_block"": 512, ""d_embedding"": 16, ""dropout"": 0.1, ""k"": 16, ""lr"": 0.002, ""n_blocks"": 2, ""use_num_embeddings"": true, ""weight_decay"": 1e-05}"
split_10+6,New,none,0.804955,0.209026,0.653887,0.459930,0.135246,0.070363,0.540070,0.774992,"{""d_block"": 384, ""d_embedding"": 8, ""dropout"": 0.3, ""k"": 16, ""lr"": 0.001, ""n_blocks"": 4, ""use_num_embeddings"": true, ""weight_decay"": 1e-05}"
split_10+6,New,undersampling,0.796696,0.216359,0.634505,0.428571,0.144706,0.060609,0.571429,0.814607,"{""d_block"": 512, ""dropout"": 0.0, ""k"": 24, ""lr"": 0.003, ""n_blocks"": 4, ""use_num_embeddings"": false, ""weight_decay"": 0.0001}"
split_10+6,New,oversampling,0.823658,0.219289,0.598161,0.376307,0.154728,0.049187,0.623693,0.840909,"{""d_block"": 256, ""d_embedding"": 16, ""dropout"": 0.3, ""k"": 32, ""lr"": 0.002, ""n_blocks"": 4, ""use_num_embeddings"": true, ""weight_decay"": 0.001}"
split_10+6,New,hybrid,0.844781,0.219641,0.587854,0.362369,0.157576,0.046353,0.637631,0.847959,"{""d_block"": 384, ""d_embedding"": 8, ""dropout"": 0.2, ""k"": 32, ""lr"": 0.003, ""n_blocks"": 3, ""use_num_embeddings"": true, ""weight_decay"": 0.0001}"
split_11+5,Old,none,0.760415,0.096911,0.665789,0.595819,0.052745,0.256023,0.404181,0.710926,"{""d_block"": 384, ""d_embedding"": 16, ""dropout"": 0.0, ""k"": 16, ""lr"": 0.003, ""n_blocks"": 2, ""use_num_embeddings"": true, ""weight_decay"": 0.0003}"
split_11+5,Old,undersampling,0.755667,0.095491,0.674148,0.627178,0.051680,0.275365,0.372822,0.701961,"{""d_block"": 256, ""dropout"": 0.3, ""k"": 32, ""lr"": 0.003, ""n_blocks"": 3, ""use_num_embeddings"": false, ""weight_decay"": 0.001}"
